"PROLIFIC_PID","cond","pool","female_pick","choice.7","goals","category"
"62d5614f8e0bad3405c9dac9","treat","women",1,"Mary Barra (CEO of General Motors)","Finding interesting panelists for the public
","Other/Unclear"
"5e05169c37241cf5527d7f6a","treat","women",1,"Bobbi Brown (Founder of Bobbi Brown Cosmetics)","No notable goals just filling a seventh spot","Other/Unclear"
"5ec06f59c4ceb1481f225bbd","treat","women",1,"Indra Nooyi (Former CEO of PepsiCo)","My goals were to select someone that felt authentic and that they would provide unique insight.","Other/Unclear"
"5f48655c66186320c2077614","treat","women",1,"Carol Tomé (CEO of UPS)","I just wanted to select someone who I thought would fit with who I already picked.","Other/Unclear"
"662ac63b180632049384144d","treat","women",1,"Melanie Perkins (Founder of Canva)","a mix of different; I randomly selected one I would have not otherwise","Other/Unclear"
"669041884256730dc2ce4171","treat","women",1,"Safra Katz (CEO of Oracle)","Balance gender","Other/Unclear"
"66b1ebdbc33d487474a5cef5","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","investments","Other/Unclear"
"5dce3ccc32ccbf0cd54263db","treat","women",1,"Julia Hartz (Co-founder of EventBrite)","I was trying to get more of technology based panelists to gather more insight in that industry since that is what I'm most interested in.","Other/Unclear"
"6657973f71415fecf81cda01","treat","women",1,"Oprah Winfrey (Founder of OWN)","I picked someone I had heard of.","Other/Unclear"
"6234b670fac1a65a6f832f32","treat","women",1,"Corie Barry (CEO of Best Buy)","Someone that looked interesting that was not part of the mag 7.","Other/Unclear"
"60dde3c32d443979e545ce9d","treat","women",0,"Larry Page (Co-founder of Google)","After I saw the gender percentage in my first selections, I did feel somewhat obligated to even up my choices. I based my first 6 choices on personal admiration for the candidates listed.","Bucket 1: Balancing (selected man)"
"65614d209a18e3a528c2b066","treat","women",1,"Melanie Perkins (Founder of Canva)","I chose someone who I felt like would have valuable information for me. Gender did not play a role in my selection.","Bucket 3: Reactive (gender didn't matter)"
"646c323d73a3844a4331e09b","treat","women",1,"Bobbi Brown (Founder of Bobbi Brown Cosmetics)","I just chose the people that represented the companies that would be interesting to hear from.","Other/Unclear"
