"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
0,1,"control","women",1,6,0,"Melanie Perkins (Founder of Canva)","Carol Tomé (CEO of UPS)","Jessica Alba (Founder of The Honest Company)","Lisa Su (CEO of AMD)","Gail Boudreaux (CEO of Elevance Health)","Julia Hartz (Co-founder of EventBrite)","Christine Leahy (CEO of CDW)","White / Caucasian","Man",23,52
1,0,"treat","men",0,0,0,"Jensen Huang (CEO of NVIDIA)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Jeff Bezos (Founder of Amazon)","Michael Bloomberg (Co-founder of Bloomberg LP)","Bill Gates (Co-founder of Microsoft)","Brian Moynihan (CEO of Bank of America)","White / Caucasian","Man",25,52
0,0,"control","men",1,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Michael Bloomberg (Co-founder of Bloomberg LP)","Larry Page (Co-founder of Google)","Bill Gates (Co-founder of Microsoft)","Satya Nadella (CEO of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Mary Barra (CEO of General Motors)","Black or African American","Woman",40,52
0,0,"control","men",1,5,0,"Kendra Scott (Founder of Kendra Scott)","Satya Nadella (CEO of Microsoft)","Whitney Wolfe Herd (Founder of Bumble)","Mary Barra (CEO of General Motors)","Leah Busque (Founder of TaskRabbit)","Lisa Su (CEO of AMD)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",24,52
1,0,"treat","men",1,0,0,"Howard Schultz (Founder of Starbucks)","Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Tim Cook (CEO of Apple)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",25,52
0,1,"control","women",0,5,0,"Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Leah Busque (Founder of TaskRabbit)","Melanie Perkins (Founder of Canva)","Arianna Huffington (Founder of Thrive Global)","Julia Hartz (Co-founder of EventBrite)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",36,52
0,1,"control","women",1,4,0,"Arianna Huffington (Founder of Thrive Global)","Mary Barra (CEO of General Motors)","Phil Knight (Co-founder of Nike)","Sara Blakely (Founder of Spanx)","Jessica Alba (Founder of The Honest Company)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",66,52
1,0,"treat","men",0,6,0,"Whitney Wolfe Herd (Founder of Bumble)","Leah Busque (Founder of TaskRabbit)","Kendra Scott (Founder of Kendra Scott)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","Mary Barra (CEO of General Motors)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Man",33,52
1,1,"treat","women",0,5,0,"Kate Johnson (CEO of Lumen Technologies)","Daymond John (Founder of FUBU)","Leah Busque (Founder of TaskRabbit)","Melanie Perkins (Founder of Canva)","Jessica Alba (Founder of The Honest Company)","Gail Boudreaux (CEO of Elevance Health)","Larry Page (Co-founder of Google)","White / Caucasian","Man",60,52
1,1,"treat","women",1,3,0,"Arianna Huffington (Founder of Thrive Global)","Daymond John (Founder of FUBU)","Kendra Scott (Founder of Kendra Scott)","Linda Yaccarino (CEO of X)","Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Mary Barra (CEO of General Motors)","Hispanic / Latinx","Woman",37,52
0,1,"control","women",1,6,0,"Lisa Su (CEO of AMD)","Julia Hartz (Co-founder of EventBrite)","Jessica Alba (Founder of The Honest Company)","Arianna Huffington (Founder of Thrive Global)","Kate Johnson (CEO of Lumen Technologies)","Whitney Wolfe Herd (Founder of Bumble)","Carol Tomé (CEO of UPS)","White / Caucasian","Man",35,52
1,1,"treat","women",0,3,0,"Carol Tomé (CEO of UPS)","Daymond John (Founder of FUBU)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Melanie Perkins (Founder of Canva)","Michele Buck (CEO of Hershey)","Larry Page (Co-founder of Google)","White / Caucasian","Man",51,52
0,1,"control","women",1,3,0,"Daymond John (Founder of FUBU)","Carol Tomé (CEO of UPS)","Linda Yaccarino (CEO of X)","Oprah Winfrey (Founder of OWN)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Gail Boudreaux (CEO of Elevance Health)","White / Caucasian","Man",42,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Michael Bloomberg (Co-founder of Bloomberg LP)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Jeff Bezos (Founder of Amazon)","Jane Fraser (CEO of Citigroup)","Tim Cook (CEO of Apple)","Black or African American","Woman",60,52
1,0,"treat","men",1,0,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Warren Buffett (CEO of Berkshire Hathaway)","Richard Branson (Founder of Virgin Group)","Sundar Pichai (CEO of Alphabet Inc.)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",52,52
0,0,"control","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Jensen Huang (CEO of NVIDIA)","Larry Page (Co-founder of Google)","Warren Buffett (CEO of Berkshire Hathaway)","Andy Jassy (CEO of Amazon)","Phil Knight (Co-founder of Nike)","Richard Branson (Founder of Virgin Group)","White / Caucasian","Man",48,52
1,1,"treat","women",1,5,0,"Warren Buffett (CEO of Berkshire Hathaway)","Lisa Su (CEO of AMD)","Kate Johnson (CEO of Lumen Technologies)","Jessica Alba (Founder of The Honest Company)","Julia Hartz (Co-founder of EventBrite)","Arianna Huffington (Founder of Thrive Global)","Sara Blakely (Founder of Spanx)","White / Caucasian","Man",46,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Michael Bloomberg (Co-founder of Bloomberg LP)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Leah Busque (Founder of TaskRabbit)","Kendra Scott (Founder of Kendra Scott)","Black or African American","Man",52,52
0,0,"control","men",0,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Kendra Scott (Founder of Kendra Scott)","Howard Schultz (Founder of Starbucks)","White / Caucasian","Woman",24,52
0,0,"control","men",0,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Howard Schultz (Founder of Starbucks)","Sundar Pichai (CEO of Alphabet Inc.)","Michael Bloomberg (Co-founder of Bloomberg LP)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",35,52
1,1,"treat","women",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Oprah Winfrey (Founder of OWN)","Larry Page (Co-founder of Google)","Mary Barra (CEO of General Motors)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Arianna Huffington (Founder of Thrive Global)","Black or African American","Woman",29,52
0,1,"control","women",1,3,0,"Melanie Perkins (Founder of Canva)","Oprah Winfrey (Founder of OWN)","Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Daymond John (Founder of FUBU)","Jessica Alba (Founder of The Honest Company)","Julia Hartz (Co-founder of EventBrite)","Black or African American","Woman",35,52
0,1,"control","women",1,4,0,"Arianna Huffington (Founder of Thrive Global)","Julia Hartz (Co-founder of EventBrite)","Jessica Alba (Founder of The Honest Company)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Whitney Wolfe Herd (Founder of Bumble)","Hispanic / Latinx","Man",28,52
1,1,"treat","women",0,4,0,"Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Kate Johnson (CEO of Lumen Technologies)","Linda Yaccarino (CEO of X)","Michele Buck (CEO of Hershey)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",29,52
0,0,"control","men",1,3,0,"Phil Knight (Co-founder of Nike)","Howard Schultz (Founder of Starbucks)","Lisa Su (CEO of AMD)","Kendra Scott (Founder of Kendra Scott)","Daymond John (Founder of FUBU)","Leah Busque (Founder of TaskRabbit)","Whitney Wolfe Herd (Founder of Bumble)","Black or African American","Woman",32,52
1,0,"treat","men",1,0,0,"Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Brian Moynihan (CEO of Bank of America)","Howard Schultz (Founder of Starbucks)","Satya Nadella (CEO of Microsoft)","Jamie Dimon (CEO of JPMorgan Chase)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",46,52
1,0,"treat","men",1,0,0,"Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Phil Knight (Co-founder of Nike)","Richard Branson (Founder of Virgin Group)","Lisa Su (CEO of AMD)","Black or African American","Man",50,52
1,0,"treat","men",0,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Bill Gates (Co-founder of Microsoft)","Mary Barra (CEO of General Motors)","Daymond John (Founder of FUBU)","White / Caucasian","Man",55,52
0,1,"control","women",1,5,0,"Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Kate Johnson (CEO of Lumen Technologies)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Whitney Wolfe Herd (Founder of Bumble)","Linda Yaccarino (CEO of X)","Hispanic / Latinx","Man",45,52
0,1,"control","women",1,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Jessica Alba (Founder of The Honest Company)","Larry Page (Co-founder of Google)","Melanie Perkins (Founder of Canva)","Sundar Pichai (CEO of Alphabet Inc.)","Daymond John (Founder of FUBU)","Sara Blakely (Founder of Spanx)","White / Caucasian","Man",40,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Warren Buffett (CEO of Berkshire Hathaway)","Daymond John (Founder of FUBU)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Black or African American","Man",49,52
0,1,"control","women",0,4,0,"Arianna Huffington (Founder of Thrive Global)","Leah Busque (Founder of TaskRabbit)","Mary Barra (CEO of General Motors)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",26,52
1,1,"treat","women",1,2,0,"Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Jessica Alba (Founder of The Honest Company)","Larry Page (Co-founder of Google)","Oprah Winfrey (Founder of OWN)","Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",54,52
1,0,"treat","men",0,2,0,"Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Michael Bloomberg (Co-founder of Bloomberg LP)","Tim Cook (CEO of Apple)","Kendra Scott (Founder of Kendra Scott)","Daymond John (Founder of FUBU)","Richard Branson (Founder of Virgin Group)","White / Caucasian","Woman",55,52
1,1,"treat","women",1,2,0,"Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Lisa Su (CEO of AMD)","Kate Johnson (CEO of Lumen Technologies)","Jessica Alba (Founder of The Honest Company)","Asian / Pacific Islander","Man",34,52
1,1,"treat","women",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Kendra Scott (Founder of Kendra Scott)","Sara Blakely (Founder of Spanx)","Phil Knight (Co-founder of Nike)","Jessica Alba (Founder of The Honest Company)","Oprah Winfrey (Founder of OWN)","White / Caucasian","Woman",64,52
1,0,"treat","men",1,0,0,"Richard Branson (Founder of Virgin Group)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","Michael Bloomberg (Co-founder of Bloomberg LP)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",68,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Satya Nadella (CEO of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Asian / Pacific Islander","Man",42,52
1,0,"treat","men",0,1,0,"Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Mark Zuckerberg (Co-founder of Facebook)","Satya Nadella (CEO of Microsoft)","Hispanic / Latinx","Man",39,52
1,1,"treat","women",1,4,0,"Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Arianna Huffington (Founder of Thrive Global)","Melanie Perkins (Founder of Canva)","Whitney Wolfe Herd (Founder of Bumble)","Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","White / Caucasian","Woman",50,52
0,0,"control","men",1,1,0,"Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","Jamie Dimon (CEO of JPMorgan Chase)","Richard Branson (Founder of Virgin Group)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",61,52
0,1,"control","women",0,2,0,"Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Jessica Alba (Founder of The Honest Company)","Oprah Winfrey (Founder of OWN)","Sundar Pichai (CEO of Alphabet Inc.)","Daymond John (Founder of FUBU)","White / Caucasian","Man",40,52
1,0,"treat","men",0,1,0,"Phil Knight (Co-founder of Nike)","Satya Nadella (CEO of Microsoft)","Whitney Wolfe Herd (Founder of Bumble)","Jensen Huang (CEO of NVIDIA)","Tim Cook (CEO of Apple)","Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Asian / Pacific Islander","Woman",27,52
0,0,"control","men",1,0,0,"Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Jensen Huang (CEO of NVIDIA)","Jamie Dimon (CEO of JPMorgan Chase)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Lisa Su (CEO of AMD)","Black or African American","Man",48,52
0,0,"control","men",0,2,0,"Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Jensen Huang (CEO of NVIDIA)","Mary Barra (CEO of General Motors)","Sundar Pichai (CEO of Alphabet Inc.)","Hispanic / Latinx","Woman",33,52
0,1,"control","women",1,4,0,"Carol Tomé (CEO of UPS)","Jessica Alba (Founder of The Honest Company)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Lisa Su (CEO of AMD)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Man",42,52
1,1,"treat","women",1,6,0,"Michele Buck (CEO of Hershey)","Mary Barra (CEO of General Motors)","Jessica Alba (Founder of The Honest Company)","Sara Blakely (Founder of Spanx)","Melanie Perkins (Founder of Canva)","Carol Tomé (CEO of UPS)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",70,52
0,1,"control","women",1,2,0,"Larry Page (Co-founder of Google)","Gail Boudreaux (CEO of Elevance Health)","Julia Hartz (Co-founder of EventBrite)","Daymond John (Founder of FUBU)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",39,52
0,1,"control","women",1,4,0,"Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Phil Knight (Co-founder of Nike)","Whitney Wolfe Herd (Founder of Bumble)","Oprah Winfrey (Founder of OWN)","Sara Blakely (Founder of Spanx)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Woman",38,52
0,0,"control","men",0,0,0,"Tim Cook (CEO of Apple)","Michael Bloomberg (Co-founder of Bloomberg LP)","Larry Page (Co-founder of Google)","Bill Gates (Co-founder of Microsoft)","Richard Branson (Founder of Virgin Group)","Phil Knight (Co-founder of Nike)","Howard Schultz (Founder of Starbucks)","Hispanic / Latinx","Man",37,52
1,1,"treat","women",1,4,0,"Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","Melanie Perkins (Founder of Canva)","Sara Blakely (Founder of Spanx)","Warren Buffett (CEO of Berkshire Hathaway)","Michele Buck (CEO of Hershey)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",30,52
1,0,"treat","men",1,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Jensen Huang (CEO of NVIDIA)","Jamie Dimon (CEO of JPMorgan Chase)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",39,52
1,0,"treat","men",1,1,0,"Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","Andy Jassy (CEO of Amazon)","Michael Bloomberg (Co-founder of Bloomberg LP)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Man",32,52
0,1,"control","women",1,3,0,"Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Linda Yaccarino (CEO of X)","White / Caucasian","Man",33,52
1,1,"treat","women",1,3,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Leah Busque (Founder of TaskRabbit)","Linda Yaccarino (CEO of X)","Michele Buck (CEO of Hershey)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",43,52
1,0,"treat","men",0,4,0,"Whitney Wolfe Herd (Founder of Bumble)","Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","Leah Busque (Founder of TaskRabbit)","Lisa Su (CEO of AMD)","Jensen Huang (CEO of NVIDIA)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",26,52
0,0,"control","men",1,1,0,"Michael Bloomberg (Co-founder of Bloomberg LP)","Warren Buffett (CEO of Berkshire Hathaway)","Daymond John (Founder of FUBU)","Kendra Scott (Founder of Kendra Scott)","Jensen Huang (CEO of NVIDIA)","Brian Moynihan (CEO of Bank of America)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",74,52
0,0,"control","men",1,2,0,"Bill Gates (Co-founder of Microsoft)","Jamie Dimon (CEO of JPMorgan Chase)","Richard Branson (Founder of Virgin Group)","Daymond John (Founder of FUBU)","Whitney Wolfe Herd (Founder of Bumble)","Kendra Scott (Founder of Kendra Scott)","Lisa Su (CEO of AMD)","Black or African American","Man",58,52
1,0,"treat","men",0,3,0,"Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","Bill Gates (Co-founder of Microsoft)","Jane Fraser (CEO of Citigroup)","Whitney Wolfe Herd (Founder of Bumble)","Jensen Huang (CEO of NVIDIA)","Tim Cook (CEO of Apple)","White / Caucasian","Woman",35,52
0,0,"control","men",0,1,0,"Daymond John (Founder of FUBU)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Jamie Dimon (CEO of JPMorgan Chase)","Mary Barra (CEO of General Motors)","Bill Gates (Co-founder of Microsoft)","Black or African American","Man",28,52
0,1,"control","women",1,2,0,"Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Linda Yaccarino (CEO of X)","White / Caucasian","Woman",63,52
1,1,"treat","women",1,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","Leah Busque (Founder of TaskRabbit)","Phil Knight (Co-founder of Nike)","Sara Blakely (Founder of Spanx)","Carol Tomé (CEO of UPS)","White / Caucasian","Man",61,52
0,0,"control","men",0,6,0,"Mary Barra (CEO of General Motors)","Kendra Scott (Founder of Kendra Scott)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","Leah Busque (Founder of TaskRabbit)","Whitney Wolfe Herd (Founder of Bumble)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Woman",41,52
1,1,"treat","women",1,5,0,"Michele Buck (CEO of Hershey)","Kendra Scott (Founder of Kendra Scott)","Jessica Alba (Founder of The Honest Company)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Kate Johnson (CEO of Lumen Technologies)","Sara Blakely (Founder of Spanx)","White / Caucasian","Woman",42,52
0,1,"control","women",1,4,0,"Arianna Huffington (Founder of Thrive Global)","Carol Tomé (CEO of UPS)","Daymond John (Founder of FUBU)","Tim Cook (CEO of Apple)","Leah Busque (Founder of TaskRabbit)","Whitney Wolfe Herd (Founder of Bumble)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",58,52
1,0,"treat","men",1,4,0,"Lisa Su (CEO of AMD)","Kendra Scott (Founder of Kendra Scott)","Bill Gates (Co-founder of Microsoft)","Leah Busque (Founder of TaskRabbit)","Mary Barra (CEO of General Motors)","Satya Nadella (CEO of Microsoft)","Whitney Wolfe Herd (Founder of Bumble)","Black or African American","Woman",29,52
0,0,"control","men",0,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","Richard Branson (Founder of Virgin Group)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jeff Bezos (Founder of Amazon)","Daymond John (Founder of FUBU)","Mark Zuckerberg (Co-founder of Facebook)","White / Caucasian","Man",26,52
1,0,"treat","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Lisa Su (CEO of AMD)","Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Man",36,52
0,1,"control","women",1,4,0,"Larry Page (Co-founder of Google)","Jane Fraser (CEO of Citigroup)","Mary Barra (CEO of General Motors)","Oprah Winfrey (Founder of OWN)","Sara Blakely (Founder of Spanx)","Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",27,52
1,1,"treat","women",0,3,0,"Melanie Perkins (Founder of Canva)","Larry Page (Co-founder of Google)","Oprah Winfrey (Founder of OWN)","Sundar Pichai (CEO of Alphabet Inc.)","Lisa Su (CEO of AMD)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Black or African American","Man",47,52
1,1,"treat","women",1,2,0,"Daymond John (Founder of FUBU)","Carol Tomé (CEO of UPS)","Gail Boudreaux (CEO of Elevance Health)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",35,52
1,0,"treat","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Sundar Pichai (CEO of Alphabet Inc.)","Satya Nadella (CEO of Microsoft)","Jensen Huang (CEO of NVIDIA)","Warren Buffett (CEO of Berkshire Hathaway)","Asian / Pacific Islander","Woman",32,52
1,1,"treat","women",0,3,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Jane Fraser (CEO of Citigroup)","Arianna Huffington (Founder of Thrive Global)","Michele Buck (CEO of Hershey)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",62,52
0,1,"control","women",1,3,0,"Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Jessica Alba (Founder of The Honest Company)","Phil Knight (Co-founder of Nike)","Jane Fraser (CEO of Citigroup)","Kate Johnson (CEO of Lumen Technologies)","Sara Blakely (Founder of Spanx)","White / Caucasian","Man",67,52
1,1,"treat","women",0,5,0,"Warren Buffett (CEO of Berkshire Hathaway)","Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Kendra Scott (Founder of Kendra Scott)","Mary Barra (CEO of General Motors)","Sara Blakely (Founder of Spanx)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",68,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Satya Nadella (CEO of Microsoft)","Leah Busque (Founder of TaskRabbit)","Howard Schultz (Founder of Starbucks)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Michael Bloomberg (Co-founder of Bloomberg LP)","Tim Cook (CEO of Apple)","Black or African American","Woman",33,52
0,0,"control","men",0,2,0,"Mark Zuckerberg (Co-founder of Facebook)","Howard Schultz (Founder of Starbucks)","Lisa Su (CEO of AMD)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jamie Dimon (CEO of JPMorgan Chase)","Jane Fraser (CEO of Citigroup)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Hispanic / Latinx","Man",22,52
0,1,"control","women",1,6,0,"Mary Barra (CEO of General Motors)","Carol Tomé (CEO of UPS)","Michele Buck (CEO of Hershey)","Linda Yaccarino (CEO of X)","Lisa Su (CEO of AMD)","Jane Fraser (CEO of Citigroup)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Man",59,52
1,0,"treat","men",1,0,0,"Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Jamie Dimon (CEO of JPMorgan Chase)","Kendra Scott (Founder of Kendra Scott)","Black or African American","Man",38,52
1,0,"treat","men",0,0,0,"Andy Jassy (CEO of Amazon)","Larry Page (Co-founder of Google)","Satya Nadella (CEO of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","White / Caucasian","Woman",48,52
0,0,"control","men",0,0,0,"Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Richard Branson (Founder of Virgin Group)","Jeff Bezos (Founder of Amazon)","Michael Bloomberg (Co-founder of Bloomberg LP)","Bill Gates (Co-founder of Microsoft)","Andy Jassy (CEO of Amazon)","White / Caucasian","Man",47,52
1,1,"treat","women",0,4,0,"Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Linda Yaccarino (CEO of X)","Sundar Pichai (CEO of Alphabet Inc.)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","White / Caucasian","Man",37,52
0,1,"control","women",1,4,0,"Jessica Alba (Founder of The Honest Company)","Sundar Pichai (CEO of Alphabet Inc.)","Michele Buck (CEO of Hershey)","Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","Jane Fraser (CEO of Citigroup)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",64,52
