"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
0,0,"control","men",0,2,0,"Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","Lisa Su (CEO of AMD)","Mark Zuckerberg (Co-founder of Facebook)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Man",28,52
1,1,"treat","women",1,2,0,"Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Jane Fraser (CEO of Citigroup)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",41,52
0,1,"control","women",1,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Daymond John (Founder of FUBU)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Carol Tomé (CEO of UPS)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",36,52
1,1,"treat","women",1,3,0,"Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Sundar Pichai (CEO of Alphabet Inc.)","Michele Buck (CEO of Hershey)","Kate Johnson (CEO of Lumen Technologies)","Melanie Perkins (Founder of Canva)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",58,52
1,1,"treat","women",1,6,0,"Arianna Huffington (Founder of Thrive Global)","Jessica Alba (Founder of The Honest Company)","Carol Tomé (CEO of UPS)","Whitney Wolfe Herd (Founder of Bumble)","Melanie Perkins (Founder of Canva)","Mary Barra (CEO of General Motors)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",26,52
0,0,"control","men",0,0,0,"Richard Branson (Founder of Virgin Group)","Warren Buffett (CEO of Berkshire Hathaway)","Jeff Bezos (Founder of Amazon)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jensen Huang (CEO of NVIDIA)","Jamie Dimon (CEO of JPMorgan Chase)","White / Caucasian","Man",65,52
0,0,"control","men",0,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Richard Branson (Founder of Virgin Group)","Jensen Huang (CEO of NVIDIA)","Mary Barra (CEO of General Motors)","Kendra Scott (Founder of Kendra Scott)","Daymond John (Founder of FUBU)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",45,52
1,1,"treat","women",0,4,0,"Mary Barra (CEO of General Motors)","Kendra Scott (Founder of Kendra Scott)","Michele Buck (CEO of Hershey)","Daymond John (Founder of FUBU)","Sara Blakely (Founder of Spanx)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",40,52
0,0,"control","men",1,2,0,"Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Bill Gates (Co-founder of Microsoft)","Jane Fraser (CEO of Citigroup)","Brian Moynihan (CEO of Bank of America)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",45,52
1,0,"treat","men",1,2,0,"Phil Knight (Co-founder of Nike)","Howard Schultz (Founder of Starbucks)","Brian Moynihan (CEO of Bank of America)","Larry Page (Co-founder of Google)","Whitney Wolfe Herd (Founder of Bumble)","Leah Busque (Founder of TaskRabbit)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",27,52
0,1,"control","women",1,4,0,"Warren Buffett (CEO of Berkshire Hathaway)","Sara Blakely (Founder of Spanx)","Jessica Alba (Founder of The Honest Company)","Linda Yaccarino (CEO of X)","Oprah Winfrey (Founder of OWN)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",38,52
0,1,"control","women",0,4,0,"Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","Carol Tomé (CEO of UPS)","Whitney Wolfe Herd (Founder of Bumble)","Leah Busque (Founder of TaskRabbit)","Daymond John (Founder of FUBU)","Larry Page (Co-founder of Google)","Black or African American","Woman",68,52
1,0,"treat","men",1,1,0,"Andy Jassy (CEO of Amazon)","Tim Cook (CEO of Apple)","Mark Zuckerberg (Co-founder of Facebook)","Larry Page (Co-founder of Google)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",39,52
0,1,"control","women",1,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",30,52
0,1,"control","women",1,2,0,"Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Phil Knight (Co-founder of Nike)","Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Christine Leahy (CEO of CDW)","White / Caucasian","Woman",63,52
1,1,"treat","women",1,2,0,"Leah Busque (Founder of TaskRabbit)","Carol Tomé (CEO of UPS)","Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Arianna Huffington (Founder of Thrive Global)","Hispanic / Latinx","Woman",39,52
1,0,"treat","men",0,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Jamie Dimon (CEO of JPMorgan Chase)","Jane Fraser (CEO of Citigroup)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",35,52
0,0,"control","men",0,2,0,"Michael Bloomberg (Co-founder of Bloomberg LP)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Leah Busque (Founder of TaskRabbit)","Whitney Wolfe Herd (Founder of Bumble)","Howard Schultz (Founder of Starbucks)","Daymond John (Founder of FUBU)","White / Caucasian","Man",51,52
0,1,"control","women",1,4,0,"Tim Cook (CEO of Apple)","Jessica Alba (Founder of The Honest Company)","Kendra Scott (Founder of Kendra Scott)","Julia Hartz (Co-founder of EventBrite)","Melanie Perkins (Founder of Canva)","Larry Page (Co-founder of Google)","Sara Blakely (Founder of Spanx)","Hispanic / Latinx","Woman",33,52
1,0,"treat","men",1,2,0,"Tim Cook (CEO of Apple)","Bill Gates (Co-founder of Microsoft)","Mary Barra (CEO of General Motors)","Phil Knight (Co-founder of Nike)","Sundar Pichai (CEO of Alphabet Inc.)","Kendra Scott (Founder of Kendra Scott)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",27,52
1,0,"treat","men",1,1,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Kendra Scott (Founder of Kendra Scott)","Satya Nadella (CEO of Microsoft)","Howard Schultz (Founder of Starbucks)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",54,52
1,1,"treat","women",1,2,0,"Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Carol Tomé (CEO of UPS)","Larry Page (Co-founder of Google)","Daymond John (Founder of FUBU)","Linda Yaccarino (CEO of X)","White / Caucasian","Woman",27,52
0,1,"control","women",1,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Jessica Alba (Founder of The Honest Company)","Oprah Winfrey (Founder of OWN)","Lisa Su (CEO of AMD)","Asian / Pacific Islander","Man",51,52
0,0,"control","men",1,2,0,"Kendra Scott (Founder of Kendra Scott)","Leah Busque (Founder of TaskRabbit)","Daymond John (Founder of FUBU)","Phil Knight (Co-founder of Nike)","Richard Branson (Founder of Virgin Group)","Sundar Pichai (CEO of Alphabet Inc.)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",62,52
0,0,"control","men",1,1,0,"Jensen Huang (CEO of NVIDIA)","Bill Gates (Co-founder of Microsoft)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Whitney Wolfe Herd (Founder of Bumble)","Howard Schultz (Founder of Starbucks)","Lisa Su (CEO of AMD)","Asian / Pacific Islander","Man",38,52
1,0,"treat","men",0,0,0,"Daymond John (Founder of FUBU)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Howard Schultz (Founder of Starbucks)","Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Richard Branson (Founder of Virgin Group)","White / Caucasian","Man",48,52
1,1,"treat","women",1,3,0,"Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Kate Johnson (CEO of Lumen Technologies)","Gail Boudreaux (CEO of Elevance Health)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",63,52
0,0,"control","men",1,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Richard Branson (Founder of Virgin Group)","Lisa Su (CEO of AMD)","Bill Gates (Co-founder of Microsoft)","Jensen Huang (CEO of NVIDIA)","Kendra Scott (Founder of Kendra Scott)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",52,52
0,0,"control","men",0,1,0,"Phil Knight (Co-founder of Nike)","Lisa Su (CEO of AMD)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Larry Page (Co-founder of Google)","Bill Gates (Co-founder of Microsoft)","Brian Moynihan (CEO of Bank of America)","Howard Schultz (Founder of Starbucks)","Asian / Pacific Islander","Man",22,52
1,1,"treat","women",1,4,0,"Gail Boudreaux (CEO of Elevance Health)","Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Oprah Winfrey (Founder of OWN)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",59,52
0,1,"control","women",1,2,0,"Linda Yaccarino (CEO of X)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","Jessica Alba (Founder of The Honest Company)","Warren Buffett (CEO of Berkshire Hathaway)","Daymond John (Founder of FUBU)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",38,52
