"gender_feedback","budget_shown","year_shown","poli_shown","female_pick","budget_pick","year_pick","poli_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
0,1,1,1,1,0,0,0,"Man",1,"The Aviator","Marie Antoinette","Nixon","The Doors","Oppenheimer","J. Edgar","Coco Before Chanel","White / Caucasian",51,1,1
1,1,1,0,0,1,0,1,"Woman",2,"A Beautiful Day in the Neighborhood","Amadeus","The Doors","On The Basis of Sex","Chaplin","Judy","JFK","White / Caucasian",45,0,1
0,1,1,1,1,0,1,1,"Man",0,"A Beautiful Day in the Neighborhood","The Imitation Game","Amadeus","Oppenheimer","Tolkien","J. Edgar","The Iron Lady","Black or African American",29,1,0
1,1,1,0,0,1,1,0,"Woman",1,"The Doors","Braveheart","Jobs","The Aviator","A Beautiful Mind","Marie Antoinette","Moneyball","White / Caucasian",39,0,1
0,1,1,1,1,0,1,1,"Man",1,"Braveheart","Chaplin","Coco Before Chanel","W. A Life Misunderstood","Amadeus","Oppenheimer","On The Basis of Sex","White / Caucasian",56,1,1
1,1,1,0,1,0,0,0,"Woman",1,"Marie Antoinette","Braveheart","Tolkien","A Beautiful Mind","Chaplin","Amadeus","Coco Before Chanel","Black or African American",36,0,0
0,1,1,1,1,0,1,1,"Man",0,"Oppenheimer","J. Edgar","The Darkest Hour","W. A Life Misunderstood","The Aviator","Lincoln","On The Basis of Sex","White / Caucasian",37,1,1
1,0,1,1,0,0,0,0,"Man",2,"Tolkien","Hitchcock","Coco Before Chanel","Chaplin","A Beautiful Mind","On The Basis of Sex","Capote","Black or African American",47,1,0
1,1,1,0,0,0,1,0,"Man",2,"A Beautiful Day in the Neighborhood","The Iron Lady","Oppenheimer","On The Basis of Sex","Moneyball","Jobs","Tolkien","Hispanic / Latinx",44,1,0
1,0,1,1,1,0,1,0,"Woman",1,"Nixon","Jobs","Hitchcock","The Aviator","The Doors","Marie Antoinette","Judy","White / Caucasian",72,0,1
0,1,1,1,0,0,1,1,"Woman",0,"The Imitation Game","Jobs","A Beautiful Day in the Neighborhood","JFK","Tolkien","Chaplin","J. Edgar","White / Caucasian",43,0,1
1,1,1,0,0,0,1,0,"Woman",3,"A Beautiful Mind","W. A Life Misunderstood","Marie Antoinette","Jobs","Coco Before Chanel","Judy","Hitchcock","White / Caucasian",50,0,1
1,0,1,1,0,0,1,0,"Man",0,"Capote","J. Edgar","W. A Life Misunderstood","Moneyball","Oppenheimer","The Darkest Hour","Jobs","White / Caucasian",28,1,1
0,1,1,1,1,0,1,1,"Man",0,"The Imitation Game","A Beautiful Day in the Neighborhood","The Doors","Tolkien","Oppenheimer","Jobs","On The Basis of Sex","White / Caucasian",57,1,1
0,1,1,1,1,1,0,1,"Woman",2,"Oppenheimer","A Beautiful Day in the Neighborhood","Tolkien","Chaplin","Coco Before Chanel","Judy","Marie Antoinette","Asian / Pacific Islander",28,0,0
1,0,1,1,0,0,1,0,"Woman",1,"Jobs","Marie Antoinette","W. A Life Misunderstood","Tolkien","J. Edgar","Nixon","A Beautiful Day in the Neighborhood","White / Caucasian",40,0,1
1,0,1,1,1,0,1,0,"Woman",0,"Braveheart","The Darkest Hour","Moneyball","Amadeus","Lincoln","A Beautiful Day in the Neighborhood","Judy","White / Caucasian",32,0,1
