"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,1,0,1,2,"Jane Austen","Zadie Smith","F. Scott Fitzgerald","Cormac McCarthy","Ian McEwan","George Saunders","Kurt Vonnegut","White / Caucasian","Woman",41,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,0.846128608418034,-0.291651663913331,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,0,1,1,1,0,0,1,3,"Lucy Maud","John Steinbeck","Jack London","Zadie Smith","Gabriel Garcia Marquez","Isabel Allende","Jane Austen","White / Caucasian","Woman",37,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37343484948319,1.40276414090359,1.80368441784808,1.36295033280695,1.48570843526045,1.22048018990878,1.81063030183281,1.34758512072006,1.45956520415388,143
1,1,0,1,1,0,0,1,1,"Isabel Allende","Ray Bradbury","J.R.R. Tolkien","Michael Crichton","F. Scott Fitzgerald","Herman Melville","Jane Austen","White / Caucasian","Woman",33,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.8795430760693,1.91835812181299,1.80368441784808,1.87977205719586,1.87033941823156,2.35786145072233,-1.03529314724754,-0.986448565318128,0.112039912718887,143
1,1,0,1,0,0,0,1,1,"J.D. Salinger","Jane Austen","Charles Dickens","John Steinbeck","Jack London","J.R.R. Tolkien","Ernest Hemingway","White / Caucasian","Woman",67,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,0,1,3,"Jane Austen","Charles Dickens","Nathaniel Hawthorne","Sylvia Plath","Zadie Smith","J.R.R. Tolkien","Michael Crichton","White / Caucasian","Woman",33,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-1.03529314724754,-0.402940143808582,-0.64127499745589,143
0,1,1,1,0,0,1,1,2,"John Steinbeck","Jane Austen","Kurt Vonnegut","J.R.R. Tolkien","Sylvia Plath","Ernest Hemingway","Charles Dickens","White / Caucasian","Man",40,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.144889830275149,0.371576179084803,0.300198512453564,0.32930688402912,0.214047936323084,0.651789559502,0.67226092220067,0.180568277700964,0.501539586467878,143
1,1,0,1,0,0,1,1,2,"J.D. Salinger","J.R.R. Tolkien","Isabel Allende","Lucy Maud","Gabriel Garcia Marquez","Charles Dickens","F. Scott Fitzgerald","Asian / Pacific Islander","Man",32,1,0,"2Liberal",2,-2,"Democrat",1,0,0,1.8795430760693,-1.17520576364338,-1.20328739294095,1.87977205719586,0.345205494170207,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,0,1,0,0,0,1,1,"Jack London","George Orwell","Herman Melville","Michael Crichton","Jane Austen","J.R.R. Tolkien","John Steinbeck","White / Caucasian","Woman",43,0,1,"3Slightly liberal",3,-1,"Republican",0,0,1,0.361218396310962,-0.144017801824593,0.300198512453564,0.32930688402912,0.211676497742263,0.0830989290952247,0.103076232384602,-0.402940143808582,-0.0722549941095853,143
1,1,1,0,1,1,1,0,1,"Herman Melville","Ernest Hemingway","Jane Austen","Nathaniel Hawthorne","Gabriel Garcia Marquez","Ray Bradbury","Isabel Allende","White / Caucasian","Man",68,1,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,0.867326622897074,0.887170159994198,0.801360480918402,0.846128608418034,0.850496468056927,1.22048018990878,-0.466108457431467,0.180568277700964,0.311646670059424,143
1,1,0,1,0,0,1,1,0,"Charles Dickens","J.R.R. Tolkien","J.D. Salinger","Jorge Luis Borges","Jack London","Gabriel Garcia Marquez","F. Scott Fitzgerald","White / Caucasian","Man",31,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.650998056861261,-0.659611782733988,-1.20328739294095,-1.22115828913762,-0.933763880418455,-0.485591701311551,-0.466108457431467,-0.986448565318128,-0.646049574687049,143
0,1,1,1,0,1,1,1,0,"Charles Dickens","George Orwell","Ray Bradbury","Kurt Vonnegut","Michael Crichton","Cormac McCarthy","J.R.R. Tolkien","White / Caucasian","Man",46,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.187514840359795,-0.550062526107789,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,1,0,0,1,0,"F. Scott Fitzgerald","Charles Dickens","Ray Bradbury","J.R.R. Tolkien","George Orwell","Michael Crichton","Jane Austen","White / Caucasian","Woman",42,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,-1.15710628344737,-1.17520576364338,-1.20328739294095,-0.187514840359795,-0.930778570097875,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,0,1,1,1,0,0,1,1,"Charles Dickens","Ray Bradbury","Lucy Maud","F. Scott Fitzgerald","J.D. Salinger","George Orwell","Sylvia Plath","White / Caucasian","Woman",34,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,1.8795430760693,1.40276414090359,1.30252244938324,1.87977205719586,1.616150430888,2.35786145072233,2.37981499164888,2.51460196373915,2.41742613537012,143
0,1,1,1,0,1,0,1,3,"Michael Crichton","J.R.R. Tolkien","Isabel Allende","Jane Austen","Zadie Smith","F. Scott Fitzgerald","Ray Bradbury","White / Caucasian","Woman",30,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.187514840359795,-0.550062526107789,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,1,1,2,"Michael Crichton","Jane Austen","F. Scott Fitzgerald","J.R.R. Tolkien","Jack London","Lucy Maud","Charles Dickens","White / Caucasian","Man",43,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,0,1,0,"Ray Bradbury","J.R.R. Tolkien","Ernest Hemingway","Kurt Vonnegut","Charles Dickens","George Orwell","John Steinbeck","White / Caucasian","Man",29,1,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,0,1,1,1,1,1,1,"Jane Austen","Herman Melville","Jack London","J.D. Salinger","Gabriel Garcia Marquez","Charles Dickens","Lucy Maud","White / Caucasian","Woman",60,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,0.867326622897074,1.40276414090359,1.30252244938324,0.846128608418034,1.10468545540049,0.651789559502,0.67226092220067,0.76407669921051,0.696042393637727,143
0,1,1,1,1,0,0,1,2,"F. Scott Fitzgerald","Isabel Allende","Kurt Vonnegut","Zadie Smith","John Steinbeck","Cormac McCarthy","Jane Austen","White / Caucasian","Woman",26,0,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37343484948319,1.40276414090359,1.30252244938324,0.846128608418034,1.23121251204701,1.22048018990878,0.103076232384602,1.34758512072006,0.890380514337811,143
0,1,1,1,0,1,0,1,6,"Joyce Carol Oates","Sylvia Plath","Jane Austen","Lucy Maud","Zadie Smith","Isabel Allende","Kurt Vonnegut","White / Caucasian","Woman",49,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,0.361218396310962,1.91835812181299,1.80368441784808,1.87977205719586,1.49075824829197,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,0,1,1,1,1,1,2,"John Steinbeck","Jane Austen","Joyce Carol Oates","Jack London","George Orwell","J.R.R. Tolkien","Lucy Maud","White / Caucasian","Woman",35,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.650998056861261,1.40276414090359,1.30252244938324,1.36295033280695,0.85430971655813,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,1,1,2,"J.D. Salinger","Lucy Maud","George Orwell","J.R.R. Tolkien","Sylvia Plath","John Steinbeck","Charles Dickens","White / Caucasian","Woman",25,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,1.37343484948319,0.371576179084803,0.801360480918402,0.32930688402912,0.718919598378877,0.651789559502,0.67226092220067,1.34758512072006,0.890545200807576,143
1,1,1,0,1,0,0,0,3,"Lucy Maud","Michael Crichton","Joyce Carol Oates","Jane Austen","J.R.R. Tolkien","Ray Bradbury","Zadie Smith","White / Caucasian","Woman",61,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.361218396310962,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.426213843911961,0.651789559502,-1.03529314724754,0.76407669921051,0.126857703821658,143
1,0,1,1,0,0,0,1,6,"Sylvia Plath","Jane Austen","Joyce Carol Oates","Isabel Allende","Zadie Smith","Lucy Maud","Michael Crichton","Black or African American","Woman",38,0,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.361218396310962,0.371576179084803,0.300198512453564,0.32930688402912,0.340574992969612,0.651789559502,-1.03529314724754,0.76407669921051,0.126857703821658,143
0,1,1,1,1,0,0,1,1,"Ernest Hemingway","George Orwell","Michael Crichton","Neil Gaiman","J.R.R. Tolkien","Lucy Maud","Jane Austen","Asian / Pacific Islander","Man",46,1,0,"2Liberal",2,-2,"Independent",0,1,0,-0.650998056861261,0.887170159994198,0.300198512453564,1.36295033280695,0.474830237098363,-0.485591701311551,1.81063030183281,-0.402940143808582,0.307366152237558,143
0,1,1,1,0,1,0,1,0,"F. Scott Fitzgerald","Ray Bradbury","J.D. Salinger","J.R.R. Tolkien","George Orwell","Michael Crichton","Kurt Vonnegut","White / Caucasian","Woman",26,0,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
