"gender_feedback","pages_shown","year_shown","entertainer_shown","female_pick","pages_pick","year_pick","entertainer_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
1,1,0,1,0,0,0,1,"Man",1,"Henry Winkler","Mark Twain","Napoleon Bonaparte","Andre Agassi","Barbra Streisand","Robin Williams","Jim Carroll","Black or African American",22,1,0
0,1,1,1,0,0,1,0,"Woman",1,"Barbra Streisand","Che Guevara","Napoleon Bonaparte","Mark Twain","J. Robert Oppenheimer","Anthony Bourdain","Andrew Jackson","Asian / Pacific Islander",20,0,0
1,1,1,0,0,0,1,0,"Man",2,"Helen Keller","Napoleon Bonaparte","Nelson Mandela","Steve Jobs","Thomas Jefferson","Anne Frank","J. Robert Oppenheimer","Asian / Pacific Islander",20,1,0
0,1,1,1,0,0,1,0,"Man",1,"Steve Jobs","Helen Keller","Thomas Jefferson","J. Robert Oppenheimer","Robin Williams","Michael J. Fox","Napoleon Bonaparte","Asian / Pacific Islander",19,1,0
1,0,1,1,0,0,0,1,"Man",0,"Robin Williams","J. Robert Oppenheimer","Anthony Bourdain","Che Guevara","Nelson Mandela","Steve Jobs","Jim Carroll","White / Caucasian",20,1,1
0,1,1,1,1,1,1,1,"Woman",2,"Robin Williams","Anne Frank","Jackie Kennedy","Theodore Roosevelt","J. Robert Oppenheimer","Thomas Jefferson","Tina Fey","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,1,0,"Man",1,"Steve Jobs","Helen Keller","Anthony Bourdain","John Stamos","Thomas Jefferson","Nelson Mandela","Mark Twain","Black or African American",NA,1,0
1,1,1,0,0,0,1,0,"Woman",2,"Anne Frank","Michael J. Fox","Helen Keller","Nelson Mandela","Thomas Jefferson","Mark Twain","J. Robert Oppenheimer","White / Caucasian",21,0,1
1,1,0,1,0,0,1,0,"Woman",2,"Jackie Kennedy","Napoleon Bonaparte","J. Robert Oppenheimer","Anne Frank","Che Guevara","Nelson Mandela","Theodore Roosevelt","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,1,1,"Non-binary",4,"Napoleon Bonaparte","J. Robert Oppenheimer","Tina Fey","Anne Frank","Helen Keller","Barbra Streisand","Robin Williams","Asian / Pacific Islander",20,0,0
0,1,1,1,0,0,1,0,"Man",1,"Anthony Bourdain","Johnny Cash","Barbra Streisand","Robin Williams","Steve Jobs","Napoleon Bonaparte","Theodore Roosevelt","Asian / Pacific Islander",21,1,0
0,1,1,1,0,0,1,0,"Woman",3,"Theodore Roosevelt","Tina Fey","Helen Keller","Steve Jobs","Anne Frank","Mark Twain","J. Robert Oppenheimer","Asian / Pacific Islander",NA,0,0
1,1,0,1,0,0,0,1,"Woman",0,"Anthony Bourdain","Che Guevara","J. Robert Oppenheimer","Tennessee Williams","Nelson Mandela","Mark Twain","Jim Carroll","White / Caucasian",20,0,1
1,1,0,1,0,1,1,1,"Non-binary",3,"Tina Fey","Anne Frank","Nelson Mandela","Che Guevara","Barbra Streisand","J. Robert Oppenheimer","Keith Richards","Asian / Pacific Islander",21,0,0
0,1,1,1,0,0,1,0,"Woman",2,"Anne Frank","Nelson Mandela","Andrew Jackson","Che Guevara","J. Robert Oppenheimer","Barbra Streisand","Mark Twain","Asian / Pacific Islander",26,0,0
1,1,0,1,0,0,1,1,"Man",3,"Steve Jobs","Thomas Jefferson","Andre Agassi","Helen Keller","Tina Fey","Jackie Kennedy","Anthony Bourdain","Asian / Pacific Islander",21,1,0
1,1,1,0,1,0,0,1,NA,4,"Robin Williams","Nelson Mandela","Anne Frank","Helen Keller","Jackie Kennedy","Tina Fey","Barbra Streisand",NA,NA,0,0
1,1,0,1,0,0,1,1,"Man",1,"Napoleon Bonaparte","J. Robert Oppenheimer","Anne Frank","Nelson Mandela","Theodore Roosevelt","Steve Jobs","Johnny Cash","White / Caucasian",19,1,1
0,1,1,1,0,0,1,1,"Man",1,"Steve Jobs","Nelson Mandela","Che Guevara","Jim Carroll","Jackie Kennedy","J. Robert Oppenheimer","Johnny Cash","White / Caucasian",21,1,1
0,1,1,1,0,0,0,0,"Woman",0,"J. Robert Oppenheimer","Nelson Mandela","Theodore Roosevelt","Steve Jobs","Andrew Jackson","Che Guevara","Thomas Jefferson","Asian / Pacific Islander",20,0,0
0,1,1,1,0,0,1,0,NA,0,"Steve Jobs","J. Robert Oppenheimer","Andrew Jackson","Henry Winkler","Mark Twain","Robin Williams","Napoleon Bonaparte",NA,NA,0,0
1,1,0,1,1,0,0,1,"Woman",0,"Anthony Bourdain","J. Robert Oppenheimer","Steve Jobs","Nelson Mandela","Napoleon Bonaparte","Mark Twain","Barbra Streisand","Asian / Pacific Islander",NA,0,0
