"female_pick","tech_pick","founder_pick","gender_feedback","founder_comp","tech_comp","male_pool","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
1,1,1,0,0.5,0.423076923076923,1,0,1,0,0,1,0,"Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",35,0,1,126
0,1,1,1,0.423076923076923,0.461538461538462,0,0,1,1,1,1,0,"Larry Page (Co-founder of Google)","White / Caucasian","Woman",42,0,1,126
0,0,1,0,0.346153846153846,0.423076923076923,0,0,1,1,0,1,1,"Daymond John (Founder of FUBU)","White / Caucasian","Man",33,1,1,126
0,1,1,1,0.461538461538462,0.461538461538462,1,0,0,0,0,0,1,"Sergey Brin (Co-founder of Google)","White / Caucasian","Man",38,1,1,126
1,0,0,0,0.384615384615385,0.423076923076923,0,0,0,1,0,1,1,"Karen Lynch (CEO of CVS Health)","White / Caucasian","Man",47,1,1,126
0,0,0,1,0.384615384615385,0.423076923076923,0,0,0,0,1,0,0,"Charles Koch (CEO of Koch Industries)","Asian / Pacific Islander","Woman",46,0,0,126
1,0,0,0,0.346153846153846,0.346153846153846,0,0,0,0,0,0,1,"Karen Lynch (CEO of CVS Health)","White / Caucasian","Man",27,1,1,126
1,0,0,0,0.346153846153846,0.384615384615385,0,1,1,0,1,1,0,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",36,0,1,126
0,1,1,1,0.423076923076923,0.461538461538462,1,1,0,1,0,0,1,"Jeff Bezos (Founder of Amazon)","White / Caucasian","Woman",67,0,1,126
1,0,1,1,0.5,0.538461538461538,1,0,0,0,0,0,1,"Tory Burch (Founder of Tory Burch)","Asian / Pacific Islander","Man",42,1,0,126
0,1,1,0,0.384615384615385,0.423076923076923,0,1,1,1,0,1,1,"Jeff Bezos (Founder of Amazon)","White / Caucasian","Woman",53,0,1,126
1,0,0,1,0.5,0.423076923076923,1,0,0,0,0,0,0,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",46,1,1,126
1,0,0,0,0.384615384615385,0.423076923076923,0,1,1,0,1,1,1,"Mary Barra (CEO of General Motors)","White / Caucasian","Woman",36,0,1,126
1,0,1,1,0.346153846153846,0.423076923076923,0,1,1,0,1,1,1,"Arianna Huffington (Co-founder of Huffington Post)","White / Caucasian","Woman",44,0,1,126
0,1,1,1,0.461538461538462,0.5,1,0,0,0,0,0,0,"Mark Zuckerberg (Co-founder of Facebook)","Black or African American","Woman",26,0,0,126
1,1,1,1,0.346153846153846,0.346153846153846,0,1,0,1,0,0,1,"Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",43,0,1,126
1,1,1,1,0.461538461538462,0.461538461538462,1,0,0,0,0,0,0,"Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",30,1,1,126
1,1,1,1,0.461538461538462,0.5,1,0,0,0,0,0,0,"Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",38,1,1,126
0,1,0,0,0.461538461538462,0.423076923076923,1,0,0,0,0,0,0,"Tim Cook (CEO of Apple)","White / Caucasian","Woman",35,0,1,126
1,1,1,0,0.346153846153846,0.346153846153846,0,1,1,1,1,0,1,"Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",70,0,1,126
0,1,0,0,0.423076923076923,0.538461538461538,1,0,1,1,1,0,1,"Tim Cook (CEO of Apple)","White / Caucasian","Woman",64,0,1,126
0,1,1,0,0.461538461538462,0.5,1,1,1,1,0,0,0,"Garrett Camp (Co-founder of Uber)","White / Caucasian","Man",35,1,1,126
0,0,0,1,0.538461538461538,0.5,1,0,0,0,1,0,1,"James Dimon (CEO of JP Morgan)","White / Caucasian","Woman",60,0,1,126
0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,"Marvin Ellison (CEO of Lowe’s)","White / Caucasian","Man",63,1,1,126
1,1,1,0,0.346153846153846,0.384615384615385,0,1,1,0,1,0,0,"Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",36,0,1,126
0,0,0,1,0.346153846153846,0.461538461538462,0,1,0,1,1,1,1,"Charles Koch (CEO of Koch Industries)","White / Caucasian","Woman",60,0,1,126
1,1,0,1,0.346153846153846,0.423076923076923,0,0,0,1,1,1,1,"Corie Barry (CEO of Best Buy)","White / Caucasian","Woman",47,0,1,126
0,0,1,0,0.538461538461538,0.5,1,1,0,0,0,0,1,"Phil Knight (Co-founder of Nike)","White / Caucasian","Man",40,1,1,126
1,0,1,1,0.230769230769231,0.423076923076923,0,0,0,1,1,1,1,"Tory Burch (Founder of Tory Burch)","Asian / Pacific Islander","Man",52,1,0,126
1,0,0,0,0.346153846153846,0.423076923076923,0,1,0,1,1,1,1,"Delphine Arnault (CEO of Christian Dior)","White / Caucasian","Woman",47,0,1,126
0,0,0,1,0.423076923076923,0.461538461538462,1,0,0,0,0,0,1,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Woman",74,0,1,126
1,0,1,1,0.5,0.5,1,0,0,0,0,0,0,"Julia Hartz (Founder of EventBrite)","White / Caucasian","Man",55,1,1,126
1,1,0,1,0.346153846153846,0.461538461538462,0,1,1,1,0,1,1,"Anne Wojcicki (CEO of 23andMe)","White / Caucasian","Woman",47,0,1,126
0,1,1,0,0.461538461538462,0.5,1,0,0,0,0,0,0,"Larry Page (Co-founder of Google)","Asian / Pacific Islander","Man",35,1,0,126
0,0,1,1,0.423076923076923,0.423076923076923,1,0,0,0,0,1,1,"Phil Knight (Co-founder of Nike)","White / Caucasian","Man",79,1,1,126
1,1,0,0,0.423076923076923,0.423076923076923,0,1,1,1,1,1,0,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Woman",74,0,1,126
0,1,1,1,0.384615384615385,0.423076923076923,0,0,1,0,0,0,1,"Jeff Bezos (Founder of Amazon)","White / Caucasian","Woman",34,0,1,126
1,1,1,0,0.346153846153846,0.384615384615385,0,0,0,0,1,1,1,"Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",29,0,1,126
0,0,0,0,0.423076923076923,0.5,1,0,0,0,0,1,0,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Woman",64,0,1,126
0,0,1,1,0.5,0.5,1,0,0,1,0,1,0,"Phil Knight (Co-founder of Nike)","Asian / Pacific Islander","Woman",47,0,0,126
1,0,0,0,0.423076923076923,0.384615384615385,0,0,1,1,0,1,1,"Delphine Arnault (CEO of Christian Dior)","White / Caucasian","Woman",59,0,1,126
1,1,1,1,0.461538461538462,0.538461538461538,1,0,1,0,1,1,0,"Melanie Perkins (Founder of Canva)","White / Caucasian","Man",56,1,1,126
0,1,0,1,0.423076923076923,0.5,1,1,0,0,0,1,0,"Tim Cook (CEO of Apple)","White / Caucasian","Man",27,1,1,126
0,0,0,0,0.423076923076923,0.538461538461538,1,0,0,0,1,0,0,"Warren Buffet (CEO of Berkshire Hathaway)","White / Caucasian","Man",38,1,1,126
0,1,0,0,0.461538461538462,0.423076923076923,1,1,1,0,1,1,1,"Stewart Butterfield (CEO of Slack)","Black or African American","Woman",32,0,0,126
1,0,1,1,0.346153846153846,0.384615384615385,0,0,0,0,0,1,0,"Tory Burch (Founder of Tory Burch)","Black or African American","Man",36,1,0,126
1,1,0,0,0.346153846153846,0.423076923076923,0,0,0,1,0,1,0,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Man",42,1,1,126
1,0,0,1,0.384615384615385,0.461538461538462,0,1,0,0,0,1,1,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",25,0,1,126
0,0,1,1,0.5,0.423076923076923,1,0,1,1,0,0,0,"Michael Bloomberg (Co-founder of Bloomberg LP)","White / Caucasian","Woman",61,0,1,126
1,1,1,0,0.5,0.423076923076923,0,0,0,0,0,1,1,"Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",49,1,1,126
