"encouragement","gender_feedback","female","episodes_pick","episodes_shown","duration_shown","duration_pick","years_pick","years_shown","base_gender","gender","race","age","gender_code","race_code","num_excluded_total"
1,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",66,0,1,99
1,0,0,1,1,1,0,0,1,1,"Man","Asian / Pacific Islander",35,1,0,99
0,1,1,0,1,0,0,0,1,1,"Man","White / Caucasian",31,1,1,99
0,0,0,1,1,1,0,0,1,1,"Non-binary","White / Caucasian",27,0,1,99
0,0,0,1,1,1,0,0,1,2,"Woman","Black or African American",29,0,0,99
0,0,0,1,1,1,0,0,1,1,"Man","White / Caucasian",48,1,1,99
1,0,0,1,1,1,1,0,1,2,"Man","White / Caucasian",41,1,1,99
0,1,0,1,0,1,0,0,1,1,"Man","White / Caucasian",30,1,1,99
1,1,0,1,0,1,0,0,1,1,"Woman","White / Caucasian",30,0,1,99
0,1,0,0,0,1,0,0,1,2,"Woman","Black or African American",38,0,0,99
1,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",35,1,1,99
1,1,0,1,1,0,0,0,1,1,"Man","Black or African American",25,1,0,99
1,0,1,1,1,1,0,1,1,2,"Man","White / Caucasian",70,1,1,99
1,0,0,0,1,1,0,1,1,0,"Man","White / Caucasian",53,1,1,99
1,1,0,0,1,1,0,0,0,2,"Woman","White / Caucasian",59,0,1,99
0,1,0,0,1,1,0,1,0,2,"Man","White / Caucasian",48,1,1,99
1,0,1,1,1,1,0,1,1,1,"Woman","Black or African American",63,0,0,99
0,0,0,0,1,1,1,0,1,2,"Non-binary","Asian / Pacific Islander",38,0,0,99
0,1,0,0,0,1,0,1,1,2,"Man","Asian / Pacific Islander",38,1,0,99
1,0,0,1,1,1,1,0,1,0,"Man","Black or African American",35,1,0,99
0,1,0,0,0,1,0,1,1,0,"Man","White / Caucasian",36,1,1,99
0,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",58,1,1,99
0,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",46,1,1,99
0,0,0,1,1,1,0,0,1,1,"Woman","White / Caucasian",36,0,1,99
0,0,1,0,1,1,0,1,1,1,"Man","Hispanic / Latinx",44,1,0,99
0,1,1,0,0,1,0,0,1,2,"Man","White / Caucasian",67,1,1,99
0,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",61,0,1,99
0,1,0,0,1,1,0,1,0,2,"Man","White / Caucasian",42,1,1,99
0,0,0,0,1,1,0,1,1,2,"Man","White / Caucasian",44,1,1,99
1,1,1,1,1,0,0,1,1,1,"Man","White / Caucasian",45,1,1,99
1,1,0,0,1,1,0,1,0,3,"Woman","White / Caucasian",42,0,1,99
0,1,1,0,1,1,0,0,0,1,"Man","White / Caucasian",34,1,1,99
1,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",47,0,1,99
1,1,1,0,1,1,0,1,0,0,"Man","Black or African American",52,1,0,99
1,1,0,0,1,1,1,0,0,2,"Woman","White / Caucasian",53,0,1,99
0,1,0,0,0,1,0,0,1,2,"Man","White / Caucasian",47,1,1,99
1,1,1,0,1,1,0,0,0,1,"Man","White / Caucasian",49,1,1,99
1,1,0,0,0,1,0,1,1,1,"Woman","Black or African American",30,0,0,99
0,1,0,1,1,1,0,0,0,1,"Woman","Hispanic / Latinx",53,0,0,99
1,0,0,0,1,1,1,0,1,2,"Man","White / Caucasian",47,1,1,99
1,0,0,0,1,1,0,0,1,1,"Woman","White / Caucasian",58,0,1,99
0,0,1,0,1,1,0,1,1,0,"Man","White / Caucasian",38,1,1,99
1,1,1,0,0,1,0,1,1,1,"Woman","Asian / Pacific Islander",30,0,0,99
0,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",38,0,1,99
1,1,0,0,0,1,0,1,1,1,"Man","White / Caucasian",39,1,1,99
1,0,0,1,1,1,0,0,1,2,"Woman","White / Caucasian",38,0,1,99
1,0,0,0,1,1,0,1,1,1,"Woman","Hispanic / Latinx",37,0,0,99
1,1,1,1,0,1,0,1,1,2,"Man","White / Caucasian",40,1,1,99
1,0,1,0,1,1,0,1,1,1,"Man","White / Caucasian",39,1,1,99
0,0,0,1,1,1,1,0,1,2,"Woman","Hispanic / Latinx",27,0,0,99
1,1,0,0,0,1,0,1,1,2,"Woman","White / Caucasian",51,0,1,99
1,1,1,1,1,1,0,1,0,0,"Man","White / Caucasian",36,1,1,99
0,0,0,1,1,1,1,0,1,0,"Man","White / Caucasian",26,1,1,99
1,1,1,1,1,0,0,1,1,0,"Woman","White / Caucasian",59,0,1,99
0,0,0,1,1,1,0,0,1,2,"Man","White / Caucasian",34,1,1,99
0,1,1,1,0,1,0,1,1,1,"Woman","Black or African American",52,0,0,99
0,1,0,0,0,1,0,0,1,1,"Man","White / Caucasian",62,1,1,99
0,0,0,0,1,1,0,0,1,1,"Man","Black or African American",25,1,0,99
1,1,0,1,1,1,0,0,0,0,"Woman","Hispanic / Latinx",50,0,0,99
0,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",46,1,1,99
0,0,1,1,1,1,0,1,1,0,"Man","White / Caucasian",36,1,1,99
0,1,0,0,0,1,0,1,1,1,"Woman","Hispanic / Latinx",43,0,0,99
1,0,1,0,1,1,0,1,1,1,"Woman","White / Caucasian",41,0,1,99
