"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
1,0,"treat","women",1,2,0,"Mary Barra (CEO of General Motors)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Arianna Huffington (Founder of Thrive Global)","Melanie Perkins (Founder of Canva)","White / Caucasian","Man",42,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,0,"control","women",0,4,0,"Melanie Perkins (Founder of Canva)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Leah Busque (Founder of TaskRabbit)","Julia Hartz (Co-founder of EventBrite)","Sara Blakely (Founder of Spanx)","Phil Knight (Co-founder of Nike)","Hispanic / Latinx","Woman",26,2,3,3,2.66666666666667,3,3,3,2,2.75,4,3,2,3,68
0,1,"control","men",1,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",35,4,4,5,4.33333333333333,3,4,5,5,4.25,3,4,3,3.33333333333333,68
0,1,"control","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Satya Nadella (CEO of Microsoft)","Tim Cook (CEO of Apple)","Richard Branson (Founder of Virgin Group)","Michael Bloomberg (Co-founder of Bloomberg LP)","Daymond John (Founder of FUBU)","White / Caucasian","Man",42,2,2,2,2,2,2,2,2,2,2,2,2,2,68
1,1,"treat","men",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Michael Bloomberg (Co-founder of Bloomberg LP)","Whitney Wolfe Herd (Founder of Bumble)","Mary Barra (CEO of General Motors)","Lisa Su (CEO of AMD)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",58,4,3,6,4.33333333333333,4,5,5,5,4.75,4,3,2,3,68
1,1,"treat","men",1,0,0,"Jeff Bezos (Founder of Amazon)","Larry Page (Co-founder of Google)","Mark Zuckerberg (Co-founder of Facebook)","Satya Nadella (CEO of Microsoft)","Jamie Dimon (CEO of JPMorgan Chase)","Brian Moynihan (CEO of Bank of America)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",50,6,7,7,6.66666666666667,6,6,7,6,6.25,4,5,4,4.33333333333333,68
1,1,"treat","men",1,2,0,"Warren Buffett (CEO of Berkshire Hathaway)","Brian Moynihan (CEO of Bank of America)","Howard Schultz (Founder of Starbucks)","Whitney Wolfe Herd (Founder of Bumble)","Mary Barra (CEO of General Motors)","Michael Bloomberg (Co-founder of Bloomberg LP)","Lisa Su (CEO of AMD)","White / Caucasian","Man",31,5,2,2,3,2,5,5,5,4.25,2,6,2,3.33333333333333,68
1,0,"treat","women",0,6,0,"Jessica Alba (Founder of The Honest Company)","Mary Barra (CEO of General Motors)","Melanie Perkins (Founder of Canva)","Sara Blakely (Founder of Spanx)","Kendra Scott (Founder of Kendra Scott)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","White / Caucasian","Woman",53,5,5,5,5,6,5,5,5,5.25,3,2,3,2.66666666666667,68
0,0,"control","women",1,3,0,"Sundar Pichai (CEO of Alphabet Inc.)","Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Kate Johnson (CEO of Lumen Technologies)","Daymond John (Founder of FUBU)","Arianna Huffington (Founder of Thrive Global)","White / Caucasian","Woman",49,1,2,6,3,2,3,2,3,2.5,1,1,2,1.33333333333333,68
1,0,"treat","women",0,3,0,"Jane Fraser (CEO of Citigroup)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Carol Tomé (CEO of UPS)","Kate Johnson (CEO of Lumen Technologies)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","White / Caucasian","Man",29,1,1,1,1,1,1,1,1,1,1,1,1,1,68
