"minority_feedback","forms_shown","sold30m_shown","classic_shown","minority_pick","forms_pick","sold30m_pick","classic_pick","base_minority","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
1,1,1,0,0,0,0,1,2,"Isabel Allende","Charles Dickens","Gabriel Garcia Marquez","Lucy Maud","J.D. Salinger","J.R.R. Tolkien","Jane Austen","American Indian or Alaskan Native","Woman",30,0,0,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.55589292015744,1.86483635277739,1.81494498629884,1.82770583556775,1.76584502370035,1.89426285202747,1.84040438033904,1.47352058825114,1.73606260687255,36
0,1,1,1,0,0,1,1,1,"Alice Walker","Louisa May Alcott","George Orwell","Sylvia Plath","Michael Crichton","Charles Dickens","J.D. Salinger","White / Caucasian","Man",39,1,1,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,1.55589292015744,1.36601181396862,1.32407914395727,0.849920820654961,1.27397617468457,1.89426285202747,2.40203013020776,0.881074166170784,1.72578904946867,36
0,1,1,1,0,1,1,1,3,"Alice Walker","Agatha Christie","Isabel Allende","Nathaniel Hawthorne","Gabriel Garcia Marquez","Jack London","George Orwell","White / Caucasian","Woman",50,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.55838665775685,-1.12811088007521,-1.1302500677506,-1.10564920917061,-0.980599203688318,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,1,1,1,2,"Michael Crichton","Alice Walker","J.R.R. Tolkien","Sylvia Plath","John Steinbeck","Gabriel Garcia Marquez","George Orwell","White / Caucasian","Woman",36,0,1,"2Liberal",2,-2,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,1,1,0,0,1,1,1,0,"J.D. Salinger","Lucy Maud","Louisa May Alcott","Emily Bronte","Agatha Christie","Michael Crichton","J.R.R. Tolkien","White / Caucasian","Woman",44,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.498753131200294,0.368362736351089,-0.639384225409024,1.33881332811135,0.391636242563428,1.3285947721724,0.155527130732877,1.47352058825114,0.985880830385473,36
1,1,1,0,0,0,0,1,1,"Michael Crichton","Joyce Carol Oates","George Orwell","Ernest Hemingway","Alice Walker","Herman Melville","Sylvia Plath","White / Caucasian","Man",27,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.08695655223542,0.368362736351089,0.342347459274123,0.361028313198567,-0.00380451085291056,-0.934077547247848,-0.406098619135845,-0.89626510007028,-0.745480422151324,36
1,1,1,0,1,0,0,0,1,"Jane Austen","J.R.R. Tolkien","Charles Dickens","Toni Morrison","Louisa May Alcott","Michael Crichton","Alice Walker","White / Caucasian","Woman",38,0,1,"2Liberal",2,-2,"Democrat",1,0,0,2.08446281463601,1.86483635277739,1.81494498629884,1.82770583556775,1.89798749732,1.89426285202747,0.155527130732877,0.881074166170784,0.976954716310376,36
1,0,1,1,0,1,0,1,2,"Isabel Allende","George Orwell","Toni Morrison","Emily Bronte","Jane Austen","Michael Crichton","Ray Bradbury","White / Caucasian","Woman",31,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,0.498753131200294,-1.12811088007521,1.32407914395727,-1.10564920917061,-0.102731953522065,-0.368409467392785,-0.967724369004566,-0.89626510007028,-0.744132978822544,36
0,1,1,1,0,1,0,0,3,"F. Scott Fitzgerald","Louisa May Alcott","Isabel Allende","Toni Morrison","Alice Walker","Agatha Christie","Joyce Carol Oates","White / Caucasian","Woman",38,0,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,0.498753131200294,-0.629286341266444,0.342347459274123,-0.616756701714219,-0.101235613126562,-0.368409467392785,0.717152880601598,-0.303818677989925,0.0149749117396293,36
1,0,1,1,0,0,0,1,0,"Charles Dickens","Jack London","Louisa May Alcott","Joyce Carol Oates","F. Scott Fitzgerald","J.D. Salinger","Ernest Hemingway","White / Caucasian","Woman",54,0,1,"5Slightly conservative",5,1,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,1,1,1,3,"WEB Du Bois","Alice Walker","Toni Morrison","Charles Dickens","George Orwell","F. Scott Fitzgerald","J.R.R. Tolkien","Black or African American","Man",38,1,0,"5Slightly conservative",5,1,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,1,0,1,1,1,0,0,3,"John Steinbeck","Louisa May Alcott","Toni Morrison","Alice Walker","Sylvia Plath","Gabriel Garcia Marquez","Sandra Cisneros","White / Caucasian","Man",60,1,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.55589292015744,1.36601181396862,-0.14851838306745,0.849920820654961,0.905826792928393,0.197258612462279,-0.406098619135845,-0.303818677989925,-0.170886228221164,36
1,1,1,0,0,1,1,1,2,"Ray Bradbury","Jane Austen","Alice Walker","Gabriel Garcia Marquez","J.R.R. Tolkien","Sylvia Plath","Lucy Maud","White / Caucasian","Woman",56,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
0,1,1,1,1,1,1,0,0,"George Orwell","Jane Austen","Nathaniel Hawthorne","Ray Bradbury","Louisa May Alcott","John Steinbeck","Isabel Allende","Asian / Pacific Islander","Man",48,1,0,"2Liberal",2,-2,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.127864194257826,-0.488730354672536,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
0,1,1,1,0,1,0,1,2,"Charles Dickens","Isabel Allende","Nathaniel Hawthorne","Jane Austen","Ernest Hemingway","Alice Walker","Agatha Christie","White / Caucasian","Woman",34,0,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,0.498753131200294,0.368362736351089,1.81494498629884,1.82770583556775,1.12744167235449,-0.934077547247848,0.717152880601598,-0.89626510007028,-0.371063255572177,36
1,0,1,1,1,1,1,0,2,"Agatha Christie","J.R.R. Tolkien","Jane Austen","J.D. Salinger","Toni Morrison","Alice Walker","Isabel Allende","White / Caucasian","Woman",34,0,1,"2Liberal",2,-2,"Democrat",1,0,0,1.02732302567887,1.36601181396862,1.32407914395727,1.33881332811135,1.26405682792903,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
0,1,1,1,0,1,0,0,1,"George Orwell","Emily Bronte","Toni Morrison","Ray Bradbury","J.D. Salinger","Herman Melville","Joyce Carol Oates","White / Caucasian","Woman",54,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.55838665775685,0.867187275159856,-0.14851838306745,0.361028313198567,0.130327636883531,-0.368409467392785,0.155527130732877,-0.303818677989925,-0.172233671549945,36
1,1,1,0,0,0,0,0,2,"Sylvia Plath","Ray Bradbury","Ernest Hemingway","WEB Du Bois","John Steinbeck","Sandra Cisneros","Michael Crichton","White / Caucasian","Man",35,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,-0.55838665775685,-0.130461802457677,-0.639384225409024,-1.10564920917061,-0.608470473698541,-0.368409467392785,-0.967724369004566,-0.303818677989925,-0.546650838129092,36
0,1,1,1,1,0,0,0,2,"Joyce Carol Oates","Toni Morrison","Charles Dickens","Isabel Allende","Ernest Hemingway","Agatha Christie","Alice Walker","White / Caucasian","Woman",57,0,1,"2Liberal",2,-2,"Democrat",1,0,0,0.498753131200294,0.867187275159856,1.32407914395727,0.849920820654961,0.884985092743095,0.197258612462279,0.155527130732877,-0.303818677989925,0.0163223550684099,36
0,1,1,1,1,1,0,1,0,"Jane Austen","Charles Dickens","Lucy Maud","Nathaniel Hawthorne","Louisa May Alcott","John Steinbeck","WEB Du Bois","White / Caucasian","Woman",68,0,1,"6Conservative",6,2,"Independent",0,1,0,0.498753131200294,1.36601181396862,1.32407914395727,0.849920820654961,1.00969122744529,0.762926692317342,1.27877863047032,0.881074166170784,0.974259829652815,36
1,0,1,1,0,0,0,1,3,"Ray Bradbury","George Orwell","Toni Morrison","J.R.R. Tolkien","Sandra Cisneros","WEB Du Bois","Sylvia Plath","White / Caucasian","Man",53,1,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.55589292015744,1.36601181396862,1.32407914395727,1.33881332811135,1.39619930154867,-0.368409467392785,1.84040438033904,-0.303818677989925,0.389392078318777,36
0,1,1,1,0,0,0,1,4,"Isabel Allende","Michael Crichton","Toni Morrison","Gabriel Garcia Marquez","Agatha Christie","Sandra Cisneros","Ernest Hemingway","Hispanic / Latinx","Woman",39,0,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,1,1,1,2,"Charles Dickens","Lucy Maud","Nathaniel Hawthorne","Isabel Allende","Alice Walker","Sylvia Plath","J.R.R. Tolkien","Hispanic / Latinx","Man",35,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,1,1,0,1,0,0,0,1,"Ernest Hemingway","Ray Bradbury","Toni Morrison","J.D. Salinger","Agatha Christie","George Orwell","Alice Walker","White / Caucasian","Man",61,1,1,"1Extremely liberal",1,-3,"Independent",0,1,0,1.55589292015744,1.86483635277739,1.81494498629884,1.82770583556775,1.76584502370035,-0.934077547247848,1.27877863047032,-0.89626510007028,-0.183854672282603,36
1,1,0,1,0,0,1,1,1,"Ernest Hemingway","Louisa May Alcott","Herman Melville","Alice Walker","Jack London","Michael Crichton","Charles Dickens","White / Caucasian","Man",58,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.498753131200294,0.368362736351089,0.342347459274123,0.361028313198567,0.392622910006018,0.762926692317342,-0.406098619135845,-0.303818677989925,0.0176697983971905,36
0,1,1,1,0,0,0,1,0,"J.D. Salinger","Louisa May Alcott","George Orwell","Nathaniel Hawthorne","Ernest Hemingway","Michael Crichton","John Steinbeck","White / Caucasian","Woman",32,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.55838665775685,-0.130461802457677,0.342347459274123,0.361028313198567,0.00363182806454068,-0.368409467392785,0.155527130732877,0.288627744090429,0.025248469143507,36
0,1,1,1,1,0,0,0,1,"Ray Bradbury","Toni Morrison","John Steinbeck","Charles Dickens","Ernest Hemingway","George Orwell","Alice Walker","White / Caucasian","Woman",19,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.55838665775685,0.867187275159856,0.833213301615697,-0.616756701714219,0.131314304326121,-0.368409467392785,0.155527130732877,-0.303818677989925,-0.172233671549945,36
