"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A1LII4M7CS6C9I","published their first book in last 5 years.",5,"Woman",78
"A1WDV0P4O6ML75","published their first book before the age of 25.",1,"Woman",78
"A1S0N5BIXAQO8I","have been writing professionally for over 30 years.",3,"Man",78
"A2RB40TDS6D4TL","had their work translated into at least 20 languages.",7,"Man",78
"A1EHBAQ0Z6KI32","wrote at least one book that sold over 1 million copies.",6,"Man",78
"A2OYC41VHK6QVH","wrote an autobiography.",1,"Woman",78
"A3C3LBMRCCYYPZ","are still alive.",1,"Woman",78
"A1N8BW04V76ZSY","were born in the United States.",5,"Man",78
"A2Y8CTOLND2394","wrote at least one book that remained in continuous print for over 50 years.",2,"Man",78
"A1OVTCO4LQ7SYI","wrote primarily about war and civil unrest.",3,"Man",78
"A27GH5ITK5BMF0","ever had their work adapted into a major motion picture.",2,"Man",78
"A1UP5HLWPM1LAC","were racial minorities.",5,"Man",78
"A39BR7NYRDWC01","won a Pulitzer Prize, Nobel Prize or National Book Award.",6,"Woman",78
"A1QZFDSPKO9TNY","have been writing professionally for over 30 years.",4,"Man",78
"A1YKYJ33XJU1AD","published their first book in last 5 years.",1,"Woman",78
"A2DVV59R1CQU6T","wrote  books, poems or essays spanning multiple genres.",2,"Non-binary",78
"A326WOXXK2ZPM3","published their first book before the age of 25.",1,"Woman",78
"A2686G9C57JKE9","wrote at least one book that remained in continuous print for over 50 years.",6,"Woman",78
"A1OR82RF1ZFWP","wrote at least one book that appears on the American Library Association's banned books list.",2,"Woman",78
"A2CQVB47HLEH3Z","ever wrote fiction.",5,"Man",78
"A1OQ4WMWA6WCUV","were women.",5,"Man",78
"A34FFFROPR98NA","died in the last century.",5,"Woman",78
"A13CXQGLSH6QY8","ever wrote poetry.",7,"Woman",78
"A376YLNVO87MLZ","wrote one of the 500 most commonly taught books in US colleges.",1,"Woman",78
"AMZZ3D0GQ55KD","wrote more than 10 books.",4,"Woman",78
"A364RSKC1UZO23","are still alive.",2,"Man",78
