"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"control","high",0,1,1,1,0,1,1,0,1,3,3,2,1,"Maya Angelou","Jack London","Ernest Hemingway","Sylvia Plath","Zadie Smith","Neil Gaiman","Margaret Atwood","White / Caucasian","Woman",73,0,1,25
"treat","low",1,1,1,0,1,0,0,0,1,1,2,3,1,"George Orwell","Ernest Hemingway","Albert Camus","Jane Austen","Charles Dickens","F. Scott Fitzgerald","John Steinbeck","Asian / Pacific Islander","Man",35,1,0,25
"control","high",0,1,1,1,0,1,1,1,1,3,2,4,3,"Jane Austen","Ernest Hemingway","Charles Dickens","Virginia Woolf","J.K. Rowling","J.R.R. Tolkien","Lucy Maud","White / Caucasian","Man",60,1,1,25
"control","low",0,1,1,1,0,0,0,0,0,1,3,4,1,"Oscar Wilde","F. Scott Fitzgerald","Charles Dickens","George Orwell","Jane Austen","Nathaniel Hawthorne","Antoine de Saint-Exupéry","White / Caucasian","Woman",60,0,1,25
"control","high",0,1,1,1,0,1,0,0,1,5,4,2,1,"Maya Angelou","Jane Austen","Sylvia Plath","Virginia Woolf","Charles Dickens","Zadie Smith","J.K. Rowling","Black or African American","Woman",29,0,0,25
"control","high",0,1,1,1,0,0,1,0,0,3,3,2,3,"Maya Angelou","J.R.R. Tolkien","J.K. Rowling","Ernest Hemingway","George Orwell","Margaret Atwood","Neil Gaiman","White / Caucasian","Man",49,1,1,25
"treat","high",1,0,1,1,1,1,1,1,1,4,4,1,2,"Zadie Smith","Maya Angelou","Margaret Atwood","Sylvia Plath","J.R.R. Tolkien","George Orwell","Lucy Maud","Hispanic / Latinx","Non-binary",39,0,0,25
"control","low",0,1,1,1,0,1,0,0,0,1,1,3,3,"F. Scott Fitzgerald","Michael Crichton","Ernest Hemingway","J.K. Rowling","Charles Dickens","J.D. Salinger","Jane Austen","White / Caucasian","Woman",42,0,1,25
"control","low",0,1,1,1,0,1,0,0,0,1,2,3,3,"George Orwell","Charles Dickens","J.K. Rowling","F. Scott Fitzgerald","Ernest Hemingway","Ray Bradbury","Jane Austen","Hispanic / Latinx","Man",31,1,0,25
"treat","high",1,1,1,0,1,0,0,1,0,2,1,4,4,"J.R.R. Tolkien","Ernest Hemingway","Charles Dickens","J.K. Rowling","Jane Austen","Rudyard Kipling","Oscar Wilde","White / Caucasian","Man",42,1,1,25
"treat","high",1,1,1,0,1,1,0,0,0,2,3,3,2,"Ernest Hemingway","Jane Austen","J.R.R. Tolkien","Maya Angelou","Charles Dickens","George Orwell","Ayn Rand","Hispanic / Latinx","Man",43,1,0,25
"control","high",0,1,1,1,0,0,1,1,1,2,4,4,2,"George Orwell","J.R.R. Tolkien","Maya Angelou","Ernest Hemingway","Charles Dickens","Virginia Woolf","Herman Melville","White / Caucasian","Woman",61,0,1,25
"control","high",0,1,1,1,0,0,1,1,1,1,2,4,4,"George Orwell","Charles Dickens","J.K. Rowling","J.R.R. Tolkien","Jack London","James Joyce","Jorge Luis Borges","Asian / Pacific Islander","Man",28,1,0,25
"treat","low",1,1,1,0,1,1,0,0,0,0,1,2,1,"Neil Gaiman","John Steinbeck","George Orwell","F. Scott Fitzgerald","Oscar Wilde","J.D. Salinger","Zadie Smith","Hispanic / Latinx","Man",36,1,0,25
"treat","low",1,1,1,0,1,0,0,1,0,4,3,1,1,"Ray Bradbury","Virginia Woolf","Sylvia Plath","George Orwell","Jane Austen","Zadie Smith","Ernest Hemingway","White / Caucasian","Woman",44,0,1,25
