"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,0,0,1,2,"Jane Austen","J.R.R. Tolkien","Neil Gaiman","Lucy Maud","Charles Dickens","Cormac McCarthy","Michael Crichton","White / Caucasian","Woman",34,0,1,"5Slightly conservative",5,1,"Independent",0,1,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,1,1,0,0,0,"George Orwell","J.D. Salinger","F. Scott Fitzgerald","J.R.R. Tolkien","Ernest Hemingway","Charles Dickens","Joyce Carol Oates","White / Caucasian","Man",27,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.360306125380367,0.886250797591493,0.801203913397441,0.327143307848015,0.593726036054329,0.652032424323613,1.24254958544122,0.183045475559744,0.692542495108191,126
1,1,1,0,1,1,1,1,1,"George Saunders","Isabel Allende","Jorge Luis Borges","Herman Melville","Michael Crichton","Jack London","Lucy Maud","White / Caucasian","Man",33,1,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,1.37240198319039,1.40121349229893,1.30195635927084,0.843142216125642,1.22967851272145,1.22050010028143,1.24254958544122,1.35266512769868,1.27190493780711,126
0,1,1,1,0,0,0,1,2,"J.R.R. Tolkien","Sylvia Plath","Charles Dickens","George Orwell","Ernest Hemingway","Jane Austen","Nathaniel Hawthorne","White / Caucasian","Woman",37,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-1.15783766133466,-1.17359998123824,-1.20180587009616,-0.704854508707238,-1.05952450534408,-1.05337060354983,-0.465031154972732,-0.986574176579196,-0.834991978367253,126
1,0,1,1,0,1,1,1,0,"J.R.R. Tolkien","Kurt Vonnegut","Cormac McCarthy","Ray Bradbury","John Steinbeck","J.D. Salinger","George Orwell","White / Caucasian","Man",37,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.15783766133466,-1.17359998123824,-1.20180587009616,-1.22085341698487,-1.18852423241348,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
0,1,1,1,1,1,1,0,1,"Herman Melville","Jane Austen","Michael Crichton","Ray Bradbury","Nathaniel Hawthorne","F. Scott Fitzgerald","Isabel Allende","White / Caucasian","Woman",30,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.651789732429653,0.37128810288406,0.30045146752404,-0.704854508707238,-0.171226167682198,-1.05337060354983,0.104162425165251,-0.401764350509726,-0.450324176298102,126
0,1,1,1,0,1,0,0,1,"George Orwell","Neil Gaiman","J.R.R. Tolkien","Sylvia Plath","J.D. Salinger","Ray Bradbury","Cormac McCarthy","White / Caucasian","Woman",31,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,0,1,3,"Kurt Vonnegut","Ray Bradbury","Zadie Smith","Ernest Hemingway","Joyce Carol Oates","Isabel Allende","Jack London","White / Caucasian","Woman",42,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37240198319039,1.91617618700636,1.80270880514424,1.35914112440327,1.61260702493606,1.78896777623924,1.24254958544122,1.35266512769868,1.46139416312638,126
1,0,1,1,1,1,1,1,1,"J.R.R. Tolkien","Charles Dickens","Jane Austen","Kurt Vonnegut","Neil Gaiman","Ray Bradbury","Lucy Maud","White / Caucasian","Man",44,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.360306125380367,-0.143674591823374,0.30045146752404,0.843142216125642,0.340056304301669,1.22050010028143,1.24254958544122,1.35266512769868,1.27190493780711,126
1,1,0,1,0,0,0,1,3,"Gabriel Garcia Marquez","George Orwell","Isabel Allende","Ernest Hemingway","Zadie Smith","Joyce Carol Oates","John Steinbeck","White / Caucasian","Man",46,1,1,"7Extremely conservative",7,3,"Republican",0,0,1,0.866354054285377,0.886250797591493,0.801203913397441,0.327143307848015,0.720238018280582,0.652032424323613,-1.03422473511071,-0.986574176579196,-0.456255495788766,126
